step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
41304,2023-07-03 15:20:15.237296315,1,192.29,155.0,-0.27087678204301574,0.25398218204301576,0.0,0.0168946
41305,2023-07-03 15:20:15.237296315,1,192.29,252.0,-0.04229281820430157,0.025398218204301576,0.0,0.0168946
41307,2023-07-03 15:20:16.045315182,2,192.3,233.0,-0.2707932820430158,0.25398218204301576,0.0,0.0168111
41311,2023-07-03 15:20:16.045416214,2,192.3,95.0,-0.5276320817097188,0.5111292817097187,0.0,0.0165028
41316,2023-07-03 15:20:18.226214385,2,192.32,63.0,-0.45650794351571106,0.43991004351571106,0.0,0.0165979
41321,2023-07-03 15:20:19.143453901,2,192.33,223.0,-0.2815711820430067,0.25398218204301576,0.009999999999990905,0.017589
41324,2023-07-03 15:20:19.143477788,1,192.33,113.0,-0.16113373822546181,0.1343947382254709,0.009999999999990905,0.016739
41327,2023-07-03 15:20:23.372203176,2,192.33,226.0,-0.27050798204301574,0.25398218204301576,0.0,0.0165258
41329,2023-07-03 15:20:23.373211271,2,192.33,112.0,-0.28073288204300667,0.25398218204301576,0.009999999999990905,0.0167507
41330,2023-07-03 15:20:23.373211271,2,192.33,96.0,-0.293129459804268,0.2663787598042771,0.009999999999990905,0.0167507
41331,2023-07-03 15:20:23.941206246,2,192.325,173.0,-0.2755140820430396,0.25398218204301576,0.005000000000023874,0.0165319
41336,2023-07-03 15:20:24.993346460,2,192.31,118.0,-0.38692964644633615,0.35918504644634525,0.009999999999990905,0.0177446
41339,2023-07-03 15:20:26.363550672,2,192.3,67.0,-0.2809263820430067,0.25398218204301576,0.009999999999990905,0.0169442
41342,2023-07-03 15:20:26.363612594,2,192.3,46.0,-0.27054668204301574,0.25398218204301576,0.0,0.0165645
41355,2023-07-03 15:20:27.532435473,1,192.29,99.0,-0.27054668204301574,0.25398218204301576,0.0,0.0165645
41361,2023-07-03 15:20:30.978090068,2,192.3,69.0,-0.27409500956190164,0.2475512095619107,0.009999999999990905,0.0165438
41363,2023-07-03 15:20:30.978235085,1,192.3,56.0,-0.08359504241218187,0.056792142412190966,0.009999999999990905,0.0168029
41364,2023-07-03 15:20:31.200839187,2,192.295,86.0,-0.2808199820430351,0.25398218204301576,0.010000000000019327,0.0168378
41384,2023-07-03 15:20:37.750890641,1,192.31,208.0,-0.062367304644625435,0.03591850464463453,0.009999999999990905,0.0164488
41385,2023-07-03 15:20:37.990530666,1,192.31,57.0,-0.07049160435156201,0.04399100435157111,0.009999999999990905,0.0165006
